resolution,scene,refgs_status,refgs_psnr,fsgs_psnr,delta_psnr,refgs_ssim,fsgs_ssim,delta_ssim,refgs_lpips,fsgs_lpips,delta_lpips
1_8,fern,pending,,21.91853904724121,,,0.7208865284919739,,,0.1984920154015223,
1_8,flower,pending,,20.4620418548584,,,0.6311795115470886,,,0.2450692504644394,
1_8,fortress,pending,,23.468435287475586,,,0.7282240986824036,,,0.17570690313975015,
1_8,horns,completed,16.164878010749817,20.510988235473633,-4.346110224723816,0.5018186420202255,0.7138616442680359,-0.21204300224781036,0.36643192917108536,0.227823032066226,0.13860889710485935
1_8,leaves,pending,,17.764785766601562,,,0.6322298049926758,,,0.20964427292346954,
1_8,orchids,pending,,16.438671112060547,,,0.5168814659118652,,,0.25432969257235527,
1_8,room,pending,,21.25847625732422,,,0.8449339270591736,,,0.1655116081237793,
1_8,trex,pending,,21.87339210510254,,,0.8102684020996094,,,0.1557182084236826,
1_4,fern,pending,,20.487262725830078,,,0.675987958908081,,,0.27005694309870404,
1_4,flower,pending,,19.808189392089844,,,0.6104840040206909,,,0.32533183991909026,
1_4,fortress,pending,,22.974519729614258,,,0.7066468596458435,,,0.23885968327522278,
1_4,horns,pending,,19.777807235717773,,,0.6750730276107788,,,0.3025121074169874,
1_4,leaves,pending,,16.771472930908203,,,0.538144588470459,,,0.2806432843208313,
1_4,orchids,pending,,15.757877349853516,,,0.4598599374294281,,,0.33253127336502075,
1_4,room,pending,,21.476594924926758,,,0.8566584587097168,,,0.18665091941754022,
1_4,trex,pending,,21.125463485717773,,,0.7888720631599426,,,0.22252739540168218,
