dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only,inference_note
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,False,False,none,3.7138319611549377,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,True,False,flip_y,85.6701889038086,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,False,True,flip_z,52.56146125793457,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,as_saved,False,False,True,True,flip_yz,121.18059921264648,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,camera,False,False,False,False,none,3.713799440860748,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,camera,False,False,True,False,flip_y,85.67018928527833,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,camera,False,False,False,True,flip_z,52.5614595413208,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,camera,False,False,True,True,flip_yz,121.18060150146485,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,world,False,False,False,False,none,3.7138041615486146,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
refnerf,ball,test,30000,surf_normal,auto,world,False,False,True,False,flip_y,85.67018871307373,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False,"Reused protocol grid rows; diagnostic only, not automatic final protocol."
